"url","reason","publication","other_publications"
"https://clinicaltrials.gov/show/NCT00003365","Study completed","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003378","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003380","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003381","companion study to CALGB-9781 which closed administratively due to poor accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003382","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003386","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003432","low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003434","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003452","slow enrollment","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003453","Slow enrollment","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003454","slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003469","Slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003471","Slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003472","Slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003476","Slow accrual","No citations listed","Documents are listed"
"https://clinicaltrials.gov/show/NCT00003479","Slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003483","Slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003485","slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003487","Slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003489","slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003491","Slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003492","Slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003494","Slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003495","slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003496","slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003497","slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003498","Slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003500","slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003501","slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003508","Withdrawn due to slow enrollment","No citations listed","Documents are listed"
"https://clinicaltrials.gov/show/NCT00003509","Slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003511","Slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003513","slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003515","slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003516","Slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003520","slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003521","slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003522","slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003524","slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003525","slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003526","Slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003530","Slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003531","Slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003532","Slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003533","Slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003535","Slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003552","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003561","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003567","slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003613","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003624","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003640","low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003642","low accrual","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003645","Per PI request","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003654","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003682","lack of inclusions","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003715","Terminated: recruiting or enrolling participants has halted prematurely and will not resume;
    participants are no longer being examined or treated","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003726","Study funding was dropped.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003729","low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003794","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003803","low accrual","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003824","Permanently Closed Due to Poor Accrual","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003843","Study terminated due to poor accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003847","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003851","Approval lapse","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003852","lack of patient inclusion","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003880","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003910","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003911","Poor accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00003926","Withdrawn due to slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00004026","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00004037","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00004050","Development in prostate cancer indication halted","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00004058","At this time it is felt that we will not gain further information from an additional patients.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00004093","Original Principal Investigator left the institution.","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00004099","low accrual","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00004106","Per Data Monitoring Committee given the poor/inadequate accrual.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00004159","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00004193","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00004221","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00004227","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00004239","poor accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00004261","Lack of patient accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00004682","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00004856","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00004859","Trial was stopped early for futility","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00004874","lack of FDA approval","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00004897","Institutional Review Board requested termination - all patients deceased and no new accrual.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00004933","Poor accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005029","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005039","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005047","Accrual was halted on the basis of the Data and Safety Monitoring Board review of a futility
    analysis.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005067","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005072","Development in prostate cancer indication halted","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005073","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005075","Withdrawn because Ablatherm devices were not available anymore at trial centers","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005090","poor accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005097","terminated due to the low conditional power for a positive study","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005595","Unable to accrue subjects in a timely fashion.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005608","Drug was pulled from the market.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005612","Low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005641","low study accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005655","No reason provided","No citations listed","Documents are listed"
"https://clinicaltrials.gov/show/NCT00005664","No reason provided","No citations listed","Documents are listed"
"https://clinicaltrials.gov/show/NCT00005786","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005787","Per PI due to poor/inadequate accrual.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005788","Low/inadequate rate of accrual.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005808","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005812","No objective response documented, protocol terminated after 12 patients.","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005834","poor accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005841","Toxicity/Side Effects","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005852","low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005856","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005944","insuffisient recruitment","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005950","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005982","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005983","due to lack of accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005984","Study terminated as principal investigator [PI] left the university.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005986","Principal investigator left the university.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005987","Withdrawn because treatment guidelines changed","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005993","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00005997","slow accrual for Cohort II","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006001","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006003","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006015","lack of sufficient accrual","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006032","low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006037","Drug not available","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006046","poor recruitment","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006092","low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006096","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006099","low study accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006113","Lack of efficacy","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006121","low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006220","Study drug became commercially available.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006222","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006224","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006247","The pharmaceutical company discontinued further development of SU5416.","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006262","Unable to accrue patients to the study.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006269","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006356","low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006371","low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006472","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006478","Genitope suspend drug development by decision made by the FDA March 6, 2008.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006482","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006708","lack of accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006773","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006812","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006916","Low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00006994","Withdrawn due to drug availability and funding","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00008216","Poor enrollment","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00009906","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00009919","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00009958","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00009984","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00010101","Poor accrual","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00010127","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00010153","low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00010205","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00010322","Withdrawn due to change in standard of care - new protocol required","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00011492","Closed by Sponsor/Data Safety monitoring Board/IRB","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00012194","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00012246","Administratively Terminated","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00012298","Trial completed prematurely.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00014131","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00014196","This study was closed early due to poor accrual.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00014313","low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00014326","low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00014560","Medarex (supplier of BsAb) stopped study due to toxicities experienced at other sites on
    unrelated trials halting manufacturing of BsAb","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00014586","low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00014651","Teminated by the DSMB because there are no differences between the control group and the
    Vapreotide group","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00015847","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00015912","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00016029","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00016276","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00016341","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00017069","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00017134","Withdrawn due to poor accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00017173","Terminated for poor accrual.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00017277","low accrual","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00017433","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00019604","Principal investigator left the institution.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00019643","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00019695","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00019708","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00019747","DSMB recommended closure of the protocol due to slow accrual.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00019864","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00020670","Slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00020683","Cancer Therapy Evaluation Program's (CTEP's) termination of drug supply","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00020722","Lack of funding to continue study.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00020839","low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00020969","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00021112","low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00021229","Poor accrual","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00022490","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00022542","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00022633","Permanently Closed Due to Poor Accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00022971","No reason provided","No citations listed","Documents are listed"
"https://clinicaltrials.gov/show/NCT00023166","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00023634","lack of accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00023790","slow accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00023868","redesign","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00023881","Lack of efficacy","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00023907","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00023920","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00023946","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00024167","Terminated due to slow accrual","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00025298","low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00025493","poor accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00027131","difficulty with accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00027508","Enrolment halted prematurely and not resumed. 2 patients enrolled. No data was obtained.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00027911","Departure of PI","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00028483","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00028561","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00028652","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00028704","low accrual","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00028782","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00030381","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00030472","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00030511","low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00030693","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00031538","No reason provided","No citations listed","Documents are listed"
"https://clinicaltrials.gov/show/NCT00031551","It was not feasible to recruit required sample size from two clinical sites.","Citations are listed","Documents are listed"
"https://clinicaltrials.gov/show/NCT00031577","Administrative closure 9/22/2006. Decline in enrollment at CHOP. due to competing protocols
    with new agents.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00031590","The study was terminated prematurely due to slow accrual.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00031798","low accrual; loss of funding","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00031837","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00032084","This study was closed early due to poor accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00033306","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00033423","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00033449","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00033644","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00034138","closed by sponser","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00034333","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00034372","closed by sponser","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00034697","Slow Enrollment","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00035373","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00036517","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00036621","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00036686","low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00036816","low accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00036855","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00037180","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00037882","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00038142","Low Accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00038389","Unavailability of study drug.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00038415","Vaccine unavailable.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00038649","Sponsor discontinued providing study drug.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00038701","Slow accrual.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00038779","Lack of Accrual","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00038805","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00038818","Low accrual.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00038883","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00039091","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00039455","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00039754","business reasons","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00040014","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00040170","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00040391","No reason provided","No citations listed","Documents are listed"
"https://clinicaltrials.gov/show/NCT00040534","No reason provided","Citations are listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00040768","Administratively complete.","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00041288","Poor accrual and difficulty with multicenter logistics","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00041470","Sponsor withdrew the study","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00041691","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00041782","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00042302","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00042315","No reason provided","No citations listed","No documents listed"
"https://clinicaltrials.gov/show/NCT00042796","Administratively complete.","No citations listed","No documents listed"
